CarID,DealerID,Type,"Stock No",VIN,Year,Make,Model,Body,Trim,ModelNumber,Doors,"Vehicle Exterior Color","Vehicle Interior Color",EngineCylinders,EngineDisplacement,Transmission,Mileage,SellingPrice,"Vehicle Type",MSRP,DateInStock,Drivetrain,CityMPG,HighwayMPG,ImageList,ImageLastUpdated,WebsiteVDPURL
15,AUTO1PR,"Sport Utility Vehicle",KM8K22AB3NU865927,KM8K22AB3NU865927,2022,hyundai,kona,"Sport Utility Vehicle",,,4,WHITE,BLK,2,"2.0-L L-4 DOHC 16V","Continuously Variable Transmission CVT","12,963",25995,"Used Car",,2023-05-17,,"12,963",,"https://photos.dealerimagepro.com/lib/auto-1-llc-2544/02.14.2023/USED/%28Hyundai%20-%20KONA%29KM8K22AB3NU865927/KM8K22AB3NU865927--07.jpg?ver=1676589338,https://photos.dealerimagepro.com/lib/auto-1-llc-2544/02.14.2023/USED/%28Hyundai%20-%20KONA%29KM8K22AB3NU865927/KM8K22AB3NU865927--01.jpg?ver=1676589338,https://photos.dealerimagepro.com/lib/auto-1-llc-2544/02.14.2023/USED/%28Hyundai%20-%20KONA%29KM8K22AB3NU865927/KM8K22AB3NU865927--25.jpg?ver=1676589338,https://photos.dealerimagepro.com/lib/auto-1-llc-2544/02.14.2023/USED/%28Hyundai%20-%20KONA%29KM8K22AB3NU865927/KM8K22AB3NU865927--01.jpg?ver=1676589338,https://photos.dealerimagepro.com/lib/auto-1-llc-2544/02.14.2023/USED/%28Hyundai%20-%20KONA%29KM8K22AB3NU865927/KM8K22AB3NU865927--30.jpg?ver=1676589338,https://photos.dealerimagepro.com/lib/auto-1-llc-2544/02.14.2023/USED/%28Hyundai%20-%20KONA%29KM8K22AB3NU865927/KM8K22AB3NU865927--01.jpg?ver=1676589338,https://photos.dealerimagepro.com/lib/auto-1-llc-2544/02.14.2023/USED/%28Hyundai%20-%20KONA%29KM8K22AB3NU8",,https://auto1pr.com/car.php?id=15
43,AUTO1PR,"Pickup Truck",1FTEW1EP0JKC89970,1FTEW1EP0JKC89970,2018,ford,f-150,"Pickup Truck",,,4,"Shadow Black,Magma Red Metallic,Lightning Blue Metallic,Oxford White,Stone Gray Metallic,Race Red,In",,5,"5.0-L V-8 SMPI DOHC Flexible",Automatic,"59,616",37995,"Used Car",,2023-05-17,,"59,616",,,,https://auto1pr.com/car.php?id=43
69,AUTO1PR,Hatchback,MAJ3P1RE4JC237870,MAJ3P1RE4JC237870,2018,ford,ecosport,Hatchback,,,4,"Race Red,Lightning Blue Metallic,Shadow Black,Smoke Metallic,Moondust Silver Metallic,Diamond White","Medium Stone",2,"2.0-L L-4 DOHC 16V",Automatic,"23 miles/gallon",18995,"Used Car",,2023-05-17,,"23 miles/gallon",,"https://photos.dealerimagepro.com/lib/auto-1-llc-2544/04.27.2023/USED/%28Ford%20-%20EcoSport%29MAJ3P1RE4JC237870/MAJ3P1RE4JC237870--09.jpg?ver=1682641234,https://photos.dealerimagepro.com/lib/auto-1-llc-2544/04.27.2023/USED/%28Ford%20-%20EcoSport%29MAJ3P1RE4JC237870/MAJ3P1RE4JC237870--01.jpg?ver=1682641234,https://photos.dealerimagepro.com/lib/auto-1-llc-2544/04.27.2023/USED/%28Ford%20-%20EcoSport%29MAJ3P1RE4JC237870/MAJ3P1RE4JC237870--15.jpg?ver=1682641234,https://photos.dealerimagepro.com/lib/auto-1-llc-2544/04.27.2023/USED/%28Ford%20-%20EcoSport%29MAJ3P1RE4JC237870/MAJ3P1RE4JC237870--01.jpg?ver=1682641234,https://photos.dealerimagepro.com/lib/auto-1-llc-2544/04.27.2023/USED/%28Ford%20-%20EcoSport%29MAJ3P1RE4JC237870/MAJ3P1RE4JC237870--20.jpg?ver=1682641234,https://photos.dealerimagepro.com/lib/auto-1-llc-2544/04.27.2023/USED/%28Ford%20-%20EcoSport%29MAJ3P1RE4JC237870/MAJ3P1RE4JC237870--01.jpg?ver=1682641234,https://photos.dealerimagepro.com/lib/auto-1-llc-2544/04.27.2023/USED/%28Ford%20-%20EcoSport%29MAJ3P",,https://auto1pr.com/car.php?id=69
70,AUTO1PR,Sedan,2HGFE2F50NH582745,2HGFE2F50NH582745,2022,honda,civic,Sedan,,,4,RED,GREY,2,"2.0-L L-4 DOHC 16V",CVT,"9,760",33995,"Used Car",,2023-05-17,,"9,760",,"https://photos.dealerimagepro.com/lib/auto-1-llc-2544/03.20.2023/USED/%28Honda%20-%20Civic%292HGFE2F50NH582745/2HGFE2F50NH582745--21.jpg?ver=1679338131,https://photos.dealerimagepro.com/lib/auto-1-llc-2544/03.20.2023/USED/%28Honda%20-%20Civic%292HGFE2F50NH582745/2HGFE2F50NH582745--01.jpg?ver=1679338131,https://photos.dealerimagepro.com/lib/auto-1-llc-2544/03.20.2023/USED/%28Honda%20-%20Civic%292HGFE2F50NH582745/2HGFE2F50NH582745--06.jpg?ver=1679338131,https://photos.dealerimagepro.com/lib/auto-1-llc-2544/03.20.2023/USED/%28Honda%20-%20Civic%292HGFE2F50NH582745/2HGFE2F50NH582745--01.jpg?ver=1679338131,https://photos.dealerimagepro.com/lib/auto-1-llc-2544/03.20.2023/USED/%28Honda%20-%20Civic%292HGFE2F50NH582745/2HGFE2F50NH582745--26.jpg?ver=1679338131,https://photos.dealerimagepro.com/lib/auto-1-llc-2544/03.20.2023/USED/%28Honda%20-%20Civic%292HGFE2F50NH582745/2HGFE2F50NH582745--01.jpg?ver=1679338131,https://photos.dealerimagepro.com/lib/auto-1-llc-2544/03.20.2023/USED/%28Honda%20-%20Civic%292HGFE2F50NH582745/2",,https://auto1pr.com/car.php?id=70
71,AUTO1PR,"Sport Utility Vehicle",3CZRU5H13NM706402,3CZRU5H13NM706402,2022,honda,hr-v,"Sport Utility Vehicle",,,4,WHITE,BLK,1.8,"1.8-L L-4 DOHC 16V","Continuously Variable Transmission CVT","26,224",29995,"Used Car",,2023-05-17,,"26,224",,"https://photos.dealerimagepro.com/lib/auto-1-llc-2544/02.23.2023/USED/%28Honda%20-%20HR-V%293CZRU5H13NM706402/3CZRU5H13NM706402--21.jpg?ver=1677194177,https://photos.dealerimagepro.com/lib/auto-1-llc-2544/02.23.2023/USED/%28Honda%20-%20HR-V%293CZRU5H13NM706402/3CZRU5H13NM706402--01.jpg?ver=1677194177,https://photos.dealerimagepro.com/lib/auto-1-llc-2544/02.23.2023/USED/%28Honda%20-%20HR-V%293CZRU5H13NM706402/3CZRU5H13NM706402--26.jpg?ver=1677194177,https://photos.dealerimagepro.com/lib/auto-1-llc-2544/02.23.2023/USED/%28Honda%20-%20HR-V%293CZRU5H13NM706402/3CZRU5H13NM706402--01.jpg?ver=1677194177,https://photos.dealerimagepro.com/lib/auto-1-llc-2544/02.23.2023/USED/%28Honda%20-%20HR-V%293CZRU5H13NM706402/3CZRU5H13NM706402--04.jpg?ver=1677194177,https://photos.dealerimagepro.com/lib/auto-1-llc-2544/02.23.2023/USED/%28Honda%20-%20HR-V%293CZRU5H13NM706402/3CZRU5H13NM706402--01.jpg?ver=1677194177,https://photos.dealerimagepro.com/lib/auto-1-llc-2544/02.23.2023/USED/%28Honda%20-%20HR-V%293CZRU5H13NM706402/3CZRU5H1",,https://auto1pr.com/car.php?id=71
75,AUTO1PR,Sedan,KMHLL4AG2NU312467,KMHLL4AG2NU312467,2022,hyundai,elantra,Sedan,,,4,GRI,BLK,2,"2.0-L L-4 DOHC 16V",Automatic,"13,112",24995,"Used Car",,2023-05-17,,"13,112",,"https://photos.dealerimagepro.com/lib/auto-1-llc-2544/02.24.2023/USED/%28Hyundai%20-%20ELANTRA%29KMHLL4AG2NU312467/KMHLL4AG2NU312467--33.jpg?ver=1677309031,https://photos.dealerimagepro.com/lib/auto-1-llc-2544/02.24.2023/USED/%28Hyundai%20-%20ELANTRA%29KMHLL4AG2NU312467/KMHLL4AG2NU312467--01.jpg?ver=1677309031,https://photos.dealerimagepro.com/lib/auto-1-llc-2544/02.24.2023/USED/%28Hyundai%20-%20ELANTRA%29KMHLL4AG2NU312467/KMHLL4AG2NU312467--04.jpg?ver=1677309031,https://photos.dealerimagepro.com/lib/auto-1-llc-2544/02.24.2023/USED/%28Hyundai%20-%20ELANTRA%29KMHLL4AG2NU312467/KMHLL4AG2NU312467--01.jpg?ver=1677309031,https://photos.dealerimagepro.com/lib/auto-1-llc-2544/02.24.2023/USED/%28Hyundai%20-%20ELANTRA%29KMHLL4AG2NU312467/KMHLL4AG2NU312467--10.jpg?ver=1677309031,https://photos.dealerimagepro.com/lib/auto-1-llc-2544/02.24.2023/USED/%28Hyundai%20-%20ELANTRA%29KMHLL4AG2NU312467/KMHLL4AG2NU312467--01.jpg?ver=1677309031,https://photos.dealerimagepro.com/lib/auto-1-llc-2544/02.24.2023/USED/%28Hyundai%20-%20E",,https://auto1pr.com/car.php?id=75
77,AUTO1PR,"Sport Utility Vehicle",1C4PJLLB6MD227475,1C4PJLLB6MD227475,2021,jeep,cherokee,"Sport Utility Vehicle",,,4,GRI,BLK,2.4,"2.4-L L-4 DOHC 16V",Automatic,33282,31995,"Used Car",,2023-05-17,,33282,,"https://photos.dealerimagepro.com/lib/auto-1-llc-2544/02.24.2023/USED/%28Jeep%20-%20Cherokee%291C4PJLLB6MD227475/1C4PJLLB6MD227475--15.jpg?ver=1677301308,https://photos.dealerimagepro.com/lib/auto-1-llc-2544/02.24.2023/USED/%28Jeep%20-%20Cherokee%291C4PJLLB6MD227475/1C4PJLLB6MD227475--01.jpg?ver=1677301308,https://photos.dealerimagepro.com/lib/auto-1-llc-2544/02.24.2023/USED/%28Jeep%20-%20Cherokee%291C4PJLLB6MD227475/1C4PJLLB6MD227475--20.jpg?ver=1677301308,https://photos.dealerimagepro.com/lib/auto-1-llc-2544/02.24.2023/USED/%28Jeep%20-%20Cherokee%291C4PJLLB6MD227475/1C4PJLLB6MD227475--01.jpg?ver=1677301308,https://photos.dealerimagepro.com/lib/auto-1-llc-2544/02.24.2023/USED/%28Jeep%20-%20Cherokee%291C4PJLLB6MD227475/1C4PJLLB6MD227475--25.jpg?ver=1677301308,https://photos.dealerimagepro.com/lib/auto-1-llc-2544/02.24.2023/USED/%28Jeep%20-%20Cherokee%291C4PJLLB6MD227475/1C4PJLLB6MD227475--01.jpg?ver=1677301308,https://photos.dealerimagepro.com/lib/auto-1-llc-2544/02.24.2023/USED/%28Jeep%20-%20Cherokee%291C4PJ",,https://auto1pr.com/car.php?id=77
81,AUTO1PR,"Sport Utility Vehicle",JA4J3UA85NZ018644,JA4J3UA85NZ018644,2022,mitsubishi,outlander,"Sport Utility Vehicle",,,4,BLUE,BLK,2.4,"2.4-L L-4 DOHC 16V","Continuously Variable Transmission CVT","16,325",37995,"Used Car",,2023-05-17,,"16,325",,"https://photos.dealerimagepro.com/lib/auto-1-llc-2544/03.24.2023/USED/%28Mitsubishi%20-%20Outlander%29JA4J3UA85NZ018644/JA4J3UA85NZ018644--34.jpg?ver=1679669836,https://photos.dealerimagepro.com/lib/auto-1-llc-2544/03.24.2023/USED/%28Mitsubishi%20-%20Outlander%29JA4J3UA85NZ018644/JA4J3UA85NZ018644--01.jpg?ver=1679669836,https://photos.dealerimagepro.com/lib/auto-1-llc-2544/03.24.2023/USED/%28Mitsubishi%20-%20Outlander%29JA4J3UA85NZ018644/JA4J3UA85NZ018644--04.jpg?ver=1679669836,https://photos.dealerimagepro.com/lib/auto-1-llc-2544/03.24.2023/USED/%28Mitsubishi%20-%20Outlander%29JA4J3UA85NZ018644/JA4J3UA85NZ018644--01.jpg?ver=1679669836,https://photos.dealerimagepro.com/lib/auto-1-llc-2544/03.24.2023/USED/%28Mitsubishi%20-%20Outlander%29JA4J3UA85NZ018644/JA4J3UA85NZ018644--10.jpg?ver=1679669836,https://photos.dealerimagepro.com/lib/auto-1-llc-2544/03.24.2023/USED/%28Mitsubishi%20-%20Outlander%29JA4J3UA85NZ018644/JA4J3UA85NZ018644--01.jpg?ver=1679669836,https://photos.dealerimagepro.com/lib/auto-1-llc-2544/03.2",,https://auto1pr.com/car.php?id=81
82,AUTO1PR,"Sport Utility Vehicle",JA4J3UA85NZ026548,JA4J3UA85NZ026548,2022,mitsubishi,outlander,"Sport Utility Vehicle",,,4,,,2.4,"2.4-L L-4 DOHC 16V","Continuously Variable Transmission CVT","30,092",35995,"Used Car",,2023-05-17,,"30,092",,"https://photos.dealerimagepro.com/lib/auto-1-llc-2544/03.03.2023/USED/%28Mitsubishi%20-%20Outlander%29JA4J3UA85NZ026548/JA4J3UA85NZ026548--18.jpg?ver=1680793105,https://photos.dealerimagepro.com/lib/auto-1-llc-2544/03.03.2023/USED/%28Mitsubishi%20-%20Outlander%29JA4J3UA85NZ026548/JA4J3UA85NZ026548--01.jpg?ver=1680793105,https://photos.dealerimagepro.com/lib/auto-1-llc-2544/03.03.2023/USED/%28Mitsubishi%20-%20Outlander%29JA4J3UA85NZ026548/JA4J3UA85NZ026548--23.jpg?ver=1680793105,https://photos.dealerimagepro.com/lib/auto-1-llc-2544/03.03.2023/USED/%28Mitsubishi%20-%20Outlander%29JA4J3UA85NZ026548/JA4J3UA85NZ026548--01.jpg?ver=1680793105,https://photos.dealerimagepro.com/lib/auto-1-llc-2544/03.03.2023/USED/%28Mitsubishi%20-%20Outlander%29JA4J3UA85NZ026548/JA4J3UA85NZ026548--05.jpg?ver=1680793105,https://photos.dealerimagepro.com/lib/auto-1-llc-2544/03.03.2023/USED/%28Mitsubishi%20-%20Outlander%29JA4J3UA85NZ026548/JA4J3UA85NZ026548--01.jpg?ver=1680793105,https://photos.dealerimagepro.com/lib/auto-1-llc-2544/03.0",,https://auto1pr.com/car.php?id=82
86,AUTO1PR,"Sport Utility Vehicle",JN1BJ1BV6MW316156,JN1BJ1BV6MW316156,2021,nissan,"rogue sport","Sport Utility Vehicle",,,4,BLUE,BLK,2,"2.0-L L-4 DOHC 16V","Continuously Variable Transmission CVT","5,593",28995,"Used Car",,2023-05-17,,"5,593",,"https://photos.dealerimagepro.com/lib/auto-1-llc-2544/02.23.2023/USED/%28Nissan%20-%20Rogue%20Sport%29JN1BJ1BV6MW316156/JN1BJ1BV6MW316156--16.jpg?ver=1677168425,https://photos.dealerimagepro.com/lib/auto-1-llc-2544/02.23.2023/USED/%28Nissan%20-%20Rogue%20Sport%29JN1BJ1BV6MW316156/JN1BJ1BV6MW316156--01.jpg?ver=1677168425,https://photos.dealerimagepro.com/lib/auto-1-llc-2544/02.23.2023/USED/%28Nissan%20-%20Rogue%20Sport%29JN1BJ1BV6MW316156/JN1BJ1BV6MW316156--21.jpg?ver=1677168425,https://photos.dealerimagepro.com/lib/auto-1-llc-2544/02.23.2023/USED/%28Nissan%20-%20Rogue%20Sport%29JN1BJ1BV6MW316156/JN1BJ1BV6MW316156--01.jpg?ver=1677168425,https://photos.dealerimagepro.com/lib/auto-1-llc-2544/02.23.2023/USED/%28Nissan%20-%20Rogue%20Sport%29JN1BJ1BV6MW316156/JN1BJ1BV6MW316156--26.jpg?ver=1677168425,https://photos.dealerimagepro.com/lib/auto-1-llc-2544/02.23.2023/USED/%28Nissan%20-%20Rogue%20Sport%29JN1BJ1BV6MW316156/JN1BJ1BV6MW316156--01.jpg?ver=1677168425,https://photos.dealerimagepro.com/lib/auto-1-llc-2544/02.2",,https://auto1pr.com/car.php?id=86
88,AUTO1PR,Sedan,JTDDPMAE9MJ182103,JTDDPMAE9MJ182103,2021,toyota,corolla,Sedan,,,4,WHITE,BLK,1.8,"1.8-L L-4 DOHC 16V",Manual,"15,064",26995,"Used Car",,2023-05-17,,"15,064",,"https://photos.dealerimagepro.com/lib/auto-1-llc-2544/04.06.2023/USED/%28Toyota%20-%20Corolla%29JTDDPMAE9MJ182103/JTDDPMAE9MJ182103--03.jpg?ver=1680812686,https://photos.dealerimagepro.com/lib/auto-1-llc-2544/04.06.2023/USED/%28Toyota%20-%20Corolla%29JTDDPMAE9MJ182103/JTDDPMAE9MJ182103--01.jpg?ver=1680812686,https://photos.dealerimagepro.com/lib/auto-1-llc-2544/04.06.2023/USED/%28Toyota%20-%20Corolla%29JTDDPMAE9MJ182103/JTDDPMAE9MJ182103--08.jpg?ver=1680812686,https://photos.dealerimagepro.com/lib/auto-1-llc-2544/04.06.2023/USED/%28Toyota%20-%20Corolla%29JTDDPMAE9MJ182103/JTDDPMAE9MJ182103--01.jpg?ver=1680812686,https://photos.dealerimagepro.com/lib/auto-1-llc-2544/04.06.2023/USED/%28Toyota%20-%20Corolla%29JTDDPMAE9MJ182103/JTDDPMAE9MJ182103--13.jpg?ver=1680812686,https://photos.dealerimagepro.com/lib/auto-1-llc-2544/04.06.2023/USED/%28Toyota%20-%20Corolla%29JTDDPMAE9MJ182103/JTDDPMAE9MJ182103--01.jpg?ver=1680812686,https://photos.dealerimagepro.com/lib/auto-1-llc-2544/04.06.2023/USED/%28Toyota%20-%20Corolla%",,https://auto1pr.com/car.php?id=88
92,AUTO1PR,"Pickup Truck",1FTMF1CB6MKE29897,1FTMF1CB6MKE29897,2021,ford,f-150,"Pickup Truck",,,2,WHITE,BLK,3.3,"3.3-L V-6 DOHC 24V",Automatic,"12,001",33995,"Used Car",,2023-05-17,,"12,001",,"https://photos.dealerimagepro.com/lib/auto-1-llc-2544/02.28.2023/USED/%28Ford%20-%20F-150%291FTMF1CB6MKE29897/1FTMF1CB6MKE29897--06.jpg?ver=1680796618,https://photos.dealerimagepro.com/lib/auto-1-llc-2544/02.28.2023/USED/%28Ford%20-%20F-150%291FTMF1CB6MKE29897/1FTMF1CB6MKE29897--01.jpg?ver=1680796618,https://photos.dealerimagepro.com/lib/auto-1-llc-2544/02.28.2023/USED/%28Ford%20-%20F-150%291FTMF1CB6MKE29897/1FTMF1CB6MKE29897--11.jpg?ver=1680796618,https://photos.dealerimagepro.com/lib/auto-1-llc-2544/02.28.2023/USED/%28Ford%20-%20F-150%291FTMF1CB6MKE29897/1FTMF1CB6MKE29897--01.jpg?ver=1680796618,https://photos.dealerimagepro.com/lib/auto-1-llc-2544/02.28.2023/USED/%28Ford%20-%20F-150%291FTMF1CB6MKE29897/1FTMF1CB6MKE29897--17.jpg?ver=1680796618,https://photos.dealerimagepro.com/lib/auto-1-llc-2544/02.28.2023/USED/%28Ford%20-%20F-150%291FTMF1CB6MKE29897/1FTMF1CB6MKE29897--01.jpg?ver=1680796618,https://photos.dealerimagepro.com/lib/auto-1-llc-2544/02.28.2023/USED/%28Ford%20-%20F-150%291FTMF1CB6MKE29897/1FTMF1CB",,https://auto1pr.com/car.php?id=92
95,AUTO1PR,"Sport Utility Vehicle",5J6RW1H23ML003152,5J6RW1H23ML003152,2021,honda,cr-v,"Sport Utility Vehicle",,,4,GRC,BLK,2.4,"2.4-L L-4 DOHC 16V","Continuously Variable Transmission CVT","23,746",31995,"Used Car",,2023-05-17,,"23,746",,"https://photos.dealerimagepro.com/lib/auto-1-llc-2544/03.08.2023/USED/%28Honda%20-%20CR-V%295J6RW1H23ML003152/5J6RW1H23ML003152--04.jpg?ver=1678301991,https://photos.dealerimagepro.com/lib/auto-1-llc-2544/03.08.2023/USED/%28Honda%20-%20CR-V%295J6RW1H23ML003152/5J6RW1H23ML003152--01.jpg?ver=1678301991,https://photos.dealerimagepro.com/lib/auto-1-llc-2544/03.08.2023/USED/%28Honda%20-%20CR-V%295J6RW1H23ML003152/5J6RW1H23ML003152--09.jpg?ver=1678301991,https://photos.dealerimagepro.com/lib/auto-1-llc-2544/03.08.2023/USED/%28Honda%20-%20CR-V%295J6RW1H23ML003152/5J6RW1H23ML003152--01.jpg?ver=1678301991,https://photos.dealerimagepro.com/lib/auto-1-llc-2544/03.08.2023/USED/%28Honda%20-%20CR-V%295J6RW1H23ML003152/5J6RW1H23ML003152--15.jpg?ver=1678301991,https://photos.dealerimagepro.com/lib/auto-1-llc-2544/03.08.2023/USED/%28Honda%20-%20CR-V%295J6RW1H23ML003152/5J6RW1H23ML003152--01.jpg?ver=1678301991,https://photos.dealerimagepro.com/lib/auto-1-llc-2544/03.08.2023/USED/%28Honda%20-%20CR-V%295J6RW1H23ML003152/5J6RW1H2",,https://auto1pr.com/car.php?id=95
96,AUTO1PR,Sedan,5NPEJ4J23NH144758,5NPEJ4J23NH144758,2022,hyundai,sonata,Sedan,,,4,CHR,BLK,1.6,"1.6-L L-4 DOHC 16V",Automatic,"8,867",32995,"Used Car",,2023-05-17,,"8,867",,,,https://auto1pr.com/car.php?id=96
